Symbol,Company,Price
HINDMOTORS.NS,Hindustan Motors Limited,46.5
ATULAUTO.NS,Atul Auto Limited,556.15
SMLISUZU.NS,SML Isuzu Limited,2076.45
JAYBARMARU.NS,Jay Bharat Maruti Limited,110.1
LUMAXIND.NS,Lumax Industries Limited,2456.15
DHANBANK.NS,Dhanlaxmi Bank Limited,41.5
SURYODAY.NS,Suryoday Small Finance Bank Limited,202.6
FINOPB.NS,The Federal Bank Limited,285.05
YESBANK.BO,Yes Bank Limited,22.65
DCBBANK.NS,DCB Bank Limited,128.1
KERNEX.NS,Kernex Microsystems (India) Limited,478.35
OLECTRA.NS,Olectra Greentech Limited,1613.35
BBL.NS,Banco Products (India) Limited,3159.5
HONDAPOWER.NS,Honda Siel Power Products Limited,2322.1
CENTUM.NS,Centum Electronics Limited,1859.8
RANEHOLDIN.NS,Rane Holdings Limited,1306.45
PNBGILTS.NS,PNB Gilts Limited,104.35
GICHSGFIN.NS,GIC Housing Finance Limited,204.75
BFINVEST.NS,Bajaj Finance Limited,547.8
THEINVEST.NS,The Investment Trust Of India Limited,151.75
VENKEYS.NS,Venky's (India) Limited,1758.7
HERITGFOOD.NS,Heritage Foods Limited,339.8
GMBREW.NS,G M Breweries Limited,747.85
DALMIASUG.NS,Dalmia Bharat Sugar and Industries Limited,376.3
VSTIND.BO,VST Industries Limited,3753.25
3IINFOLTD.NS,3i Infotech Limited,35.75
MINDTECK.NS,Mindteck (India) Limited,299.35
QUICKHEAL.NS,Quick Heal Technologies Limited,459.55
DATAMATICS.NS,Datamatics Global Services Limited,554.3
HCL-INSYS.NS,HCL Infosystems Limited,17.45
20MICRONS.NS,20 Microns Limited,161.35
RAJMET.NS,Rajesh Exports Limited,10.8
FOSECOIND.NS,Foseco India Limited,3362.85
BODALCHEM.NS,Bodal Chemicals Limited,71.8
JINDRILL.NS,Jindal Drilling & Industries Limited,749.65
